	b1Bleach1	b1Bleach2	b1Bleach3	b1Filtrate1	b1Filtrate2	b1Filtrate3	b1Retentate1	b1Retentate2	b1Retentate3
088bade085f88e1012ff4458a2b3d42d	16	0	9	0	0	0	0	0	0
3f4cbfbee25e7e04505f1985ce136ef2	0	0	0	0	0	0	0	3	0
b58e36ed2f6efe3dec7c80424ba3aa1d	24	0	0	0	0	0	0	0	0
1e675868c1586a74ef13f9b42de71d94	0	0	13	0	0	0	0	0	0
324499b03d46622141270fc634500ef1	572	356	1281	0	20	14	36	86	88
2eaa6cb37bc81d721ca33752bbdc2432	0	0	0	0	23	0	17	0	97
cf63179f6eb172dc94cdfa2cb3a780c1	17	0	0	0	0	0	0	0	0
0ca1c43055c9b29493d5287fcb68a953	0	0	0	0	7	0	56	40	84
d73eba64d439233fc113bbdcc0cf2515	84	2995	1844	0	15	0	0	190	24
c45db55927c575695ebf7692495d0ec4	282	174	327	2083	11	2	9	10	20
8402687536a2b16b84ed72fbc63b9988	79	29	63	0	0	0	0	0	0
00f25bed10b590ac065a0a03a21142ec	0	0	0	0	0	0	0	17	0
aa3453d0f9643435f5d28b040ec3e117	0	0	0	0	0	0	0	0	25
80c56663de21f622e4c938b683efe60b	50	0	52	0	0	0	0	0	0
1f055be706628a74e9f9e48d1c91b62b	20	0	42	0	0	0	0	0	0
8b5dc3b181f3f3dcdfa82da2d3a36a82	0	0	8	0	0	0	0	0	0
4b361328362187177c04b3d3bf5f6c9e	12	0	0	0	0	0	0	0	0
451a9e9b879e836601850fe0340ca3d6	0	0	0	0	180	0	85	0	746
9b8a4d42b7f08de1c4c8fe9ad59c1047	6	0	0	0	0	0	0	0	0
05f7f6c23ec7cebe6758a469a03ca2da	0	0	0	0	2	0	0	0	0
5cf990527d1112ded4623b896d0c8a13	0	0	0	0	124	56	387	241	208
ecc9286181730048ef8bb6b61c034c74	0	0	0	0	23	0	11	5	37
c5ca791fa9331edd54315f556bdf3691	0	0	0	0	0	0	0	0	15
cf982c5cc5d9746201c95519f9ceac96	3	0	0	0	0	0	0	0	0
1d93ace89ab34731b67a1d49aa6610b8	0	0	0	0	1	0	0	0	0
a3237d7dad0fa1d5c1d03a88c6480884	0	0	0	472	18015	7386	1311	1798	1065
14765764fca1aca68c6856ecfff84daf	0	0	89	0	0	0	0	21	0
66a1d8c55a160444d02fc2088501d8d9	55	41	61	0	0	0	0	0	0
ff9271d0b1e83e974d082be1940f462c	0	0	0	0	0	0	0	0	18
036c25714c3a550c732bb3fb065c2637	185	0	0	0	0	0	0	0	22
5662e8e49049fbb2dcc9a2e4fffd6920	48	0	0	0	0	0	0	0	0
2faa26b1a1f113e909cee7622ffcc5d2	0	0	0	0	0	0	12	0	0
d46f7f5bd2541806d2f2487c4574db37	87	106	0	0	28	0	0	8	12
4ed95b1bff9a9d58cf5418f5a81255cf	0	0	0	0	0	0	0	0	31
b322430d32964488d04e33a460ec881b	11	0	22	0	14	0	41	23	15
7eb2bc98c0e2abf1ca012b20323500e9	0	0	29	0	0	0	0	4	0
007861cf4357c84116e647b68ab1bf30	427	0	150	0	0	0	0	0	0
9b76ec08162c5cc6ff9f43e823de6211	0	0	0	0	0	0	0	0	84
1fd86527b003414b1ebd363abeee526b	0	0	0	0	0	0	0	0	5
6a32be47835e174c6854b8307018c78a	0	19	51	0	0	0	0	0	0
9d71702957799a662ae2f7545bc2abfc	14743	13007	6155	1177	2380	41	289	1297	1722
6b7e8202734dbdb49175ac49c83fb567	196	73	257	0	0	0	9	0	27
baf659375493c7790bcab986144425ea	0	14	0	0	0	0	0	0	0
1ef64c98fd6eea0d4bb74401e990499e	12	8	0	0	0	0	0	5	0
4b9e90e95af1f659c5c844336294c895	0	0	0	0	0	0	0	0	15
feac5c14a7366972f05fffbe8a62dbc1	0	0	16	0	0	0	0	0	0
f8a334f83071cc0faf9939dbd2ade44d	0	0	0	0	127	8	134	35	839
f9a8ec361e8d29696743ba0d8d946afc	0	0	13	0	0	0	0	0	0
